key,zh,en
heroTitle,HITCH OPEN,HITCH OPEN
heroSubtitle,世界AI竞速锦标赛,World AI Racing Championships
heroTagline,物理智能开源数据平台,Open-Source Physical Intelligence Data Platform
heroDesc,全球首个AI自主决策自然实验室启航，<br>L4-L5全自动驾驶挑战张家界天门山九十九道弯，让AI在大自然中理解物理世界,The world's first natural-environment AI autonomy laboratory launches.<br>Fully autonomous L4–L5 driving takes on Tianmen Mountain's legendary 99 Bends—challenging AI to understand and act within the real physical world.
stat1,所参赛高校,Participating Universities
stat2,道极限弯道,Extreme Hairpin Turns
stat3,公里赛道全长,Track Length (km)
stat4,米海拔海拔落差,Elevation Change (m)
btn1,2025赛季,2025 Season
aboutTitle,物理智能时代的AlphaGo时刻,The AlphaGo Moment for Physical Intelligence
aboutText,"在天门山 99 道弯,Hitch Open 正创造自动驾驶的 AlphaGo 时刻。<br><br>10.77 公里的天路,1100 米的落差,99 个弯道——<br>F1 传奇车手 Romain Dumas 曾以 7'36"" 刷新人类极限。<br><br>而今年,清华大学 AI 赛车在无 GPS、低能见度、湿滑赛面的极限环境中,<br>以 16'10""838 全程自动驾驶登顶,<br>让 AI 首次在真实世界完成""感知—决策—行动""的闭环。<br><br>这一刻,物理智能的引擎被彻底点燃。","On Tianmen Mountain's iconic 99 Bends, Hitch Open is defining the AlphaGo moment for autonomous driving.<br><br>A 10.77-km ascent, 1,100 meters of vertical change, and 99 technical corners—<br>F1 legend Romain Dumas once set the human benchmark with a 7'36"" run.<br><br>This year, Tsinghua University's AI racecar completed a full autonomous summit run in 16'10""838<br>under extreme conditions with no GPS, low visibility, and slick surfaces—<br>marking the first time AI has achieved a complete 'perception–decision–action' loop in the real world.<br><br>This is the ignition point for the era of Physical Intelligence."
recordsTitle1,人类赛车纪录,Human Record
recordsTitle2,AI赛车纪录,AI Record
recordsTeam1,法国 F1 赛车手 Romain Dumas,F1 Driver Romain Dumas
recordsTeam2,清华大学 极限竞速战队,Tsinghua University Autonomous Racing Team
missionTitle,"Hitch Open以竞速之名,开启物理智能时代",Racing Into the Physical Intelligence Era
missionSubtitle,"Hitch Open世界AI竞速锦标赛,以真实极限环境验证人工智能的感知与决策能力,推动AI从虚拟智能迈向物理智能。","The Hitch Open World AI Racing Championship tests AI perception, planning, and control in real-world extreme environments—accelerating the shift from virtual intelligence to physical intelligence."
mission1Title,以赛育人,Educating Through Competition
mission1Text,Hitch Open联合清华大学、复旦大学、浙江大学、湖南大学等高校，让学生在真实山路极限环境中完成AI系统研发与实车测试，成为物理智能时代的创新实践课堂。,"Partnering with Tsinghua University, Fudan University, Zhejiang University, Hunan University and more, Hitch Open places students in real mountain-road environments to develop and validate full-stack autonomous systems—becoming a new hands-on classroom for physical intelligence."
mission2Title,以赛促研,Advancing Research Through Racing
mission2Text,"通过天门山""无GPS、低能见度、多弯急坡""场景，验证AI算法在感知、决策、控制等环节的可靠性，加速物理AI从实验室走向真实世界。","Tianmen Mountain's conditions—no GPS, low visibility, steep gradients, and tight hairpins—serve as a real-world stress test for perception, planning, and control algorithms, accelerating the maturity of physical-world AI."
mission3Title,以赛兴产,Driving Industry Through Competition
mission3Text,依托中国电信5G-A网络与天翼云算力，赛事单场产生超3 TB真实物理数据，构建全球开放的物理智能数据平台，推动智能驾驶、文旅科技等产业地。,"Powered by China Telecom's 5G-A network and cloud infrastructure, each event generates over 3 TB of real-world physical data. This forms an open-source data platform that fuels innovation in autonomous driving, tourism technology, and beyond."
mission4Title,以赛鉴智,Evaluating AI Through Competition
mission4Text,以公开竞赛与数据开源机制为标准，联合政府、科研、产业和投资界，检验AI安全性与产业可行性，为新质生产力与物理智能治理提供中国样本。,"With open competition and transparent data-sharing standards, Hitch Open unites government, academia, industry, and investment sectors to verify AI safety and real-world feasibility—establishing a new model for physical intelligence governance."
impactTitle,传播影响力,Global Media Impact
impactLabel1,天门山现场观赛人数,On-site Spectators at Tianmen Mountain
impactSublabel1,Hitch Open 决赛期间现场观众总数,Total attendance during the Hitch Open Finals
impactLabel2,主流媒体报道触达人数,Mainstream Media Reach
impactSublabel2,各大官方及门户媒体累计触达规模,Total audience reached across major national and digital media
impactLabel3,微博话题热度峰值,Weibo Topic Peak Heat
impactSublabel3,当日话题热度最高点,Highest trending peak on event day
mediaStatTitle1,官方媒体报道,Official Media Coverage
mediaStatText1,28 家国家级与行业主流媒体联合发声,28 national and industry-leading outlets reported on the event
mediaStatTitle2,社交媒体扩散,Social Media Reach
mediaStatText2,全网曝光 5000 万+，互动量突破 1600 万+,"50M+ impressions across platforms, with 16M+ engagements"
mediaStatTitle3,高校媒体联动,University Network Amplification
mediaStatText3,清华、复旦、上交等 6 所高校官方矩阵报道，覆盖 100 万+ 青年科技受众,"Coverage from six leading universities, reaching over one million young tech audiences"
mediaStatTitle4,产业媒体专题解析,Industry Deep-Dive Reports
